standar,complexity,modality,article,section,paragraph,criteria,cumply,NO cumply,applys,HALLAZGOS,,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
TALENTO HUMANO,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,1,,cumply con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,1,1.1,• Profesional de la medicina especialista en cardiología intervencionista y hemodinamia o profesional de la medicina especialista en electrofisiología o profesional de la medicina especialista en cirugía vascular o profesional de la medicina especialista en radiología intervencionista.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,1,1.2,• Profesional de la enfermería que cuenta con constancia de asistencia en las acciones de formación continua en la realización del procedimiento ofertado y en soporte vital avanzado.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,1,1.3,• Tecnólogo en radiología e imágenes diagnósticas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,2,,Disponibilidad de profesional de la medicina especialista en anestesiología,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Alta,Modalidad telemedicina - prestador de referencia,11.3.9,3,,cumply con los criterios que le sean aplicables de todos los servicios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Alta,Modalidad telemedicina - prestador de referencia,11.3.9,4,,"El profesional de la medicina especialista en cardiología intervencionista y hemodinamia o profesional de la medicina especialista en electrofisiología o profesional de la medicina especialista en cirugía vascular o profesional de la medicina especialista en radiología intervencionista, puede hacer uso de la categoría telexperticia sincrónica o asincrónica entre profesionales de la salud de acuerdo con lo definido por el prestador de servicios de salud en el estándar de procesos prioritarios",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,5,,cumply con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,5,5.1,• Área para recepción y entrega de pacientes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,5,5.2,• Área para almacenamiento de material estéril.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,5,5.3,• Vestidor de personal que funciona como filtro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,5,5.4,• Vestidor de pacientes y área para casilleros.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,5,5.5,• Unidad sanitaria.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,6,,Ambiente de procedimientos de hemodinamia e intervencionismo que cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,6,6.1,• Salida de oxígeno medicinal.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,6,6.2,• Salida de aire medicinal.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,6,6.3,• Sistema de vacío.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,6,6.4,• Lavamanos quirúrgico por fuera de la sala de procedimientos de hemodinamia e intervencionismo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,6,6.5,• Ambiente de control/comando del equipo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,7,,Ambiente de recuperación cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,7,7.1,• Área para camillas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,7,7.2,• Puesto de enfermería.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,7,7.3,• Lavamanos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,8,,Disponibilidad en el servicio de:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,8,8.1,• Ambiente o área para trabajo limpio.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,8,8.2,• Ambiente de trabajo sucio.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,8,8.3,"• Ambiente o área para el almacenamiento de medicamentos, dispositivos médicos en insumos Área para estacionamiento de camillas y sillas de ruedas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,9,,Disponibilidad de:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,9,9.1,• Sala de espera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,9,9.2,• Unidades sanitarias discriminadas por sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,Modalidad telemedicina - prestador de referencia,11.3.9,10,,cumply con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,,cumply con los criterios que le sean aplicables de todos los servicios y la dotación necesaria y específica para realizar los procedimientos documentados en el estándar de  procesos prioritarios   y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.1,• Ambiente de procedimientos de hemodinamia e intervencionismo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.1.1,• Angiógrafo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.1.2,"• Elementos de protección radiológica adulto o pediátrico, según oferta, protocolos y especificaciones del equipo, como son:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.1.2.1,• Delantal plomado circunferencial o de dos piezas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.1.2.2,• Protector de tiroides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.1.2.3,• Protector de gónadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.1.2.4,• Gafas plomadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.1.2.5,• Protector mampara o escudo de protección,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.1.3,• Estación de trabajo y procesamiento de imágenes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.1.4,• Fuente de marcapaso externo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.1.5,• Inyector de medio de contrastes mecánico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.1.6,"• Carro de paro, el desfibrilador cuenta con capacidad de marcapasos externo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.1.7,"• Monitor de signos vitales con accesorios adultos o pediátricos según oferta, que cuente mínimo con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.1.7.1,• Trazado electrocardiográfico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.1.7.2,• Presión no invasiva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.1.7.3,• Presión invasiva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.1.7.4,• Saturación de oxígeno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.1.7.5,• Temperatura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.1.7.6,• Batería,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.1.8,"• Máquina de anestesia, cuando el procedimiento la requiera, la cual cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.1.8.1,"• Alarma audible y visible de: desconexión, volumen y presión.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.1.8.2,• Seguro de mezcla hipóxica.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.1.8.3,• Monitorización de oxígeno administrado.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.1.8.4,• Monitorización de presión en la vía aérea.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.1.9,• Ventilador y analizador de gases anestésicos que puede estar como monitor externo a la máquina.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.1.10,"• Si la máquina de anestesia no incluye sistema de extracción de gases anestésicos, deberá contar con salida de extracción de gases anestésicos.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.1.11,"• Polígrafo o sistema de registro electrofisiológico con al menos 64 canales para la estimulación y registro de arritmias cardiacas, para procedimientos de hemodinamia y electrofisiología.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.1.12,• Equipo de ablación – radiofrecuencia si realiza procedimientos de electrofisiología,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.2,• En sala de recuperación cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.2.1,"• Camilla con barandas, ruedas y freno.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.2.2,• Bomba de infusión por camilla.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.2.3,• Sistema de infusión rápida de líquidos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.2.4,• Sistema de calentamiento de líquidos y sangre si aplica.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.2.5,"• Monitor de signos vitales con accesorios adultos o pediátricos según la oferta, que cuente mínimo con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.2.5.1,• Trazado electrocardiográfico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.2.5.2,• Presión no invasiva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.2.5.3,• Saturación de oxígeno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.2.5.4,• Temperatura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.2.5.5,• Batería,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.2.6,• Carro de paro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.2.7,"• Oxígeno medicinal, el cual puede ser suministrado mediante salida de oxígeno medicinal o mediante oxígeno medicinal portátil.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.2.8,"• Succión, el cual puede ser suministrado mediante vacío o aspirador.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.3,• Disponibilidad en el servicio de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.3.1,• Equipo de gases arteriales.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.3.2,• Electrocardiógrafo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,Modalidad telemedicina - prestador de referencia,11.3.9,12,,cumply con los criterios que le sean aplicables de todos los servicios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MEDICAMENTOS, DM E INSUMOS",Alta,"Modalidades intramural, telemedicina – prestador remisor",11.3.9,13,,cumply con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con: Oxígeno medicinal en la sala de hemodinamia e intervencionismo y en la sala de recuperación.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MEDICAMENTOS, DM E INSUMOS",Alta,Modalidad telemedicina - prestador de referencia,11.3.9,14,,cumply con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,15,,"cumply con los criterios que le sean aplicables de todos los servicios y adicionalmente, cuenta con la siguiente información documentada:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,15,15.1,• Realización y supervisión de los procedimientos diagnósticos y de tratamiento.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,15,15.2,• Instrucciones a los pacientes sobre la preparación de los procedimientos diagnósticos y de tratamiento.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,15,15.3,"• Acciones para evitar el efecto nocivo de las radiaciones para los pacientes, el personal, los visitantes y el público en general.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,Alta,Modalidad telemedicina - prestador de referencia,11.3.9,16,,cumply con los criterios que le sean aplicables de todos los servicios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,17,,cumply con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con los siguientes registros:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,17,17.1,• Registro de tiempo de exposición.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,17,17.2,"• Número de exposiciones, que incluya el nombre del paciente y nombre del estudio realizado.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,17,17.3,• Dosis de radiación expresadas en unidades según la tecnología del equipo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,17,17.4,• Control de calidad de los equipos generadores de radiación ionizante.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,Alta,Modalidad telemedicina - prestador de referencia,11.3.9,18,,cumply con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERDEPENDENCIA,Alta,Modalidades intramural,11.3.9,19,,cumply con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERDEPENDENCIA,Alta,Modalidades intramural,11.3.9,19,19.1,• Servicio de hospitalización.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERDEPENDENCIA,Alta,Modalidades intramural,11.3.9,19,19.2,• Servicio de cuidado intensivo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERDEPENDENCIA,Alta,Modalidades intramural,11.3.9,19,19.3,"• Servicio de cirugía, que incluya las diferentes especialidades habilitadas, según el tipo de intervencionismo realizado.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERDEPENDENCIA,Alta,Modalidades intramural,11.3.9,19,19.4,• Servicio de gestión pre transfusional.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERDEPENDENCIA,Alta,Modalidades intramural,11.3.9,19,19.5,• Servicio farmacéutico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERDEPENDENCIA,Alta,Modalidad telemedicina – prestador remisor - prestador de referencia,11.3.9,20,,No aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
