standar,complexity,modality,article,section,paragraph,criteria,cumply,NO CUMPLE,applys,HALLAZGOS,,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
TALENTO HUMANO,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,1,,Cumple los criterios definidos para todos los servicios y adicionalmente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,2,,En horario diurno cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,2,2.1,• Profesional de la enfermería,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,2,2.2,• Profesional de psicología.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,2,2.3,• Profesional de trabajo social.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,2,2.4,• Profesional de terapia ocupacional.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,3,,Disponibilidad de:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,3,3.1,"• Profesional de la medicina con permanencia mínima de tres (3) días a la semana, en los horarios definidos en los procedimientos documentados en el estándar de procesos prioritarios",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,3,3.2,• Profesional de la medicina especialista en psiquiatría.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,3,3.3,• Profesional de nutrición y dietética.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,4,,En horario nocturno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,4,4.1,• Cuenta con auxiliar de enfermería.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,4,4.2,• Disponibilidad de profesional de la medicina.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,5,,Todo el talento humano en salud cuenta con constancia de asistencia en las acciones de formación continua para la atención y el tratamiento del consumidor de sustancias psicoactivas y salud mental.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,6,,Los profesionales de la medicina y de la enfermería cuentan con constancia de asistencia en las acciones de formación continua de soporte vital avanzado.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,7,,Los profesionales de salud diferentes al profesional de la medicina y de la enfermería cuentan con constancia de asistencia en las acciones de formación continua de soporte vital básico.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,Modalidad telemedicina - prestador de referencia,11.4.12,8,,Cumple con los criterios que le sean aplicables de todos los servicios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,Modalidad telemedicina - prestador de referencia,11.4.12,9,,El profesional de salud puede hacer uso de la categoría telexperticia sincrónica o asincrónica entre profesionales de la salud de acuerdo con lo definido por el prestador de servicios de salud en el estándar de procesos prioritarios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,Modalidad telemedicina - prestador de referencia,11.4.12,10,,"Profesional de la medicina, cuando esté en disponibilidad y no se requiera su permanencia, puede hacer uso de la categoría de telexperticia sincrónica o asincrónica entre profesionales de la salud, de acuerdo con lo definido por el prestador de servicios de salud en el estándar de procesos prioritarios.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,Modalidad telemedicina - prestador de referencia,11.4.12,11,,"El profesional de la medicina especialista en psiquiatría puede realizar la disponibilidad en la categoría telexperticia sincrónica o asincrónica entre profesionales de la salud, de acuerdo con lo definido por el prestador de servicios de salud en el estándar de procesos prioritarios.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,MEDIANA,Modalidades intramural y telemedicina - prestador remisor,11.4.12,12,,Cumple con los criterios que le sean aplicables de todos los servicios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,MEDIANA,Modalidades intramural y telemedicina - prestador remisor,11.4.12,13,,"Cuando se oferte atención para niños, niñas, y adolescentes, la infraestructura será independiente de la de adultos.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,MEDIANA,Modalidades intramural y telemedicina - prestador remisor,11.4.12,14,,Separación física de dormitorios y baños por sexo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,MEDIANA,Modalidades intramural y telemedicina - prestador remisor,11.4.12,15,,Cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,MEDIANA,Modalidades intramural y telemedicina - prestador remisor,11.4.12,15,15.1,• Consultorio.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,MEDIANA,Modalidades intramural y telemedicina - prestador remisor,11.4.12,15,15.2,"• Dormitorios individuales o múltiples, por ambiente se pueden ubicar no más de 8 camas o 4 camarotes (con dos camas cada camarote).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,MEDIANA,Modalidades intramural y telemedicina - prestador remisor,11.4.12,15,15.2.1,• La habitación individual debe tener un área mínima de 16 m2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,MEDIANA,Modalidades intramural y telemedicina - prestador remisor,11.4.12,15,15.2.2,• La habitación múltiple debe tener área libre mínima de 7 m2 por cama.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,MEDIANA,Modalidades intramural y telemedicina - prestador remisor,11.4.12,15,15.3,"• Baños o lavamanos, sanitarios y duchas individuales o separadas por barrera física fija, discriminados por sexo y para menores de edad, según la oferta.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,MEDIANA,Modalidades intramural y telemedicina - prestador remisor,11.4.12,15,15.4,"• Ambiente para uso múltiple que permita albergar a todos los usuarios participantes en el desarrollo de las terapias e intervenciones individuales, grupales y familiares.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,MEDIANA,Modalidades intramural y telemedicina - prestador remisor,11.4.12,15,15.5,"• Área para la realización de terapia individual que garantice condiciones de privacidad, que puede ser el mismo consultorio.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,MEDIANA,Modalidades intramural y telemedicina - prestador remisor,11.4.12,15,15.6,• Área para comedores.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,MEDIANA,Modalidades intramural y telemedicina - prestador remisor,11.4.12,16,,Disponibilidad de:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,MEDIANA,Modalidades intramural y telemedicina - prestador remisor,11.4.12,16,16.1,• Área para actividades de aprovechamiento y ocupación del tiempo libre.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,MEDIANA,Modalidades intramural y telemedicina - prestador remisor,11.4.12,16,16.2,• Área para recreación.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,MEDIANA,Modalidad telemedicina - prestador de referencia,11.4.12,17,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,18,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,19,,Cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,19,19.1,• Dotación de los consultorios según oferta.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,19,19.2,"• Los elementos necesarios para la utilización de tiempo libre, así como para actividades  vocacionales y ocupacionales de acuerdo con el tipo de terapia o plan de estructuración del tiempo de los usuarios.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,19,19.3,"• Elementos necesarios para la realización de actividades lúdicas y educativas a niños, niñas y adolescentes, si brinda atención a esta población.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,19,19.4,"• Muebles de comedor en número suficiente, de acuerdo con la organización de los horarios para la alimentación.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,19,19.5,"• Cama con su dotación, por cada uno de los usuarios.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,19,19.6,"• Clóset o armarios o casilleros u otros similares, provistos de mecanismos de seguridad que le permita al usuario guardar sus pertenencias.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,19,19.7,• Elementos de separación entre camas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,19,19.8,• Elementos para sujeción física.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,19,19.9,• Carro de paro cuando se administren medicamentos hipnóticos o sedantes por vía parenteral.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA,Modalidad telemedicina - prestador de referencia,11.4.12,20,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MEDICAMENTOS, DM E INSUMOS",MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,21,,"Cuando se manejen medicamentos, cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MEDICAMENTOS, DM E INSUMOS",MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,21,21.1,"• Pruebas POCT - rápidas para la detección de sustancias psicoactivas, VIH, hepatitis virales, y sífilis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MEDICAMENTOS, DM E INSUMOS",MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,21,21.2,"• Flumazenil, cuando se utilicen medicamentos como benzodiacepinas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MEDICAMENTOS, DM E INSUMOS",MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,21,21.3,"• Medicamentos antagonistas opioides e hipnosedantes, cuando se utilicen medicamentos para terapia de mantenimiento con opioides e hipnosedantes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MEDICAMENTOS, DM E INSUMOS",MEDIANA,Modalidad telemedicina - prestador de referencia,11.4.12,22,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,23,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con la siguiente información documentada:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,23,23.1,"• Política institucional basada en el respeto por los derechos y la dignidad humana, priorizando la autonomía personal y el libre desarrollo de la personalidad.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,23,23.2,• Tamizaje e intervención motivacional breve por curso de vida y a mujeres embarazadas cuando aplique.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,23,23.3,• Evaluación multidimensional que incluya:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,23,23.3.1,• Detección de intoxicación/abstinencia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,23,23.3.2,"• Condiciones médicas que entre otras contemple como mínimo VIH/SIDA, hepatitis viral, sífilis, tuberculosis y usuarios de drogas inyectadas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,23,23.3.3,"• Condiciones emocionales, cognitivas, comportamentales, y trastornos concurrentes, comorbilidad o patología dual.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,23,23.3.4,• Disposición para el cambio de comportamiento.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,23,23.3.5,• Análisis de problemas potenciales del uso continuado y recaídas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,23,23.3.6,• Ambiente o condiciones de recuperación posteriores al tratamiento.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,23,23.4,• Plan de tratamiento y seguimiento.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,23,23.5,• Tratamiento del consumo de sustancias durante el embarazo cuando aplique.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,23,23.6,• Horarios de la permanencia del profesional de la medicina especialista en psiquiatría o psiquiatría infantil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,23,23.7,• Adaptación de las atenciones de acuerdo con las características de las poblaciones a atender y de los contextos territoriales.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,23,23.8,• Criterios de ingreso y egreso del servicio.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,23,23.9,• Manejo de las principales causas de internación para el tratamiento en consumo de sustancias psicoactivas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,23,23.10,• Entrega de turno.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,23,23.11,• Manejo de urgencias que incluya:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,23,23.11.1,• Intoxicación aguda y síndrome de abstinencia a sustancias psicoactivas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,23,23.11.2,"• Agitación psicomotora, conducta suicida y agresión a terceros.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,23,23.11.3,• Agudización de síntomas psiquiátricos e intervención en crisis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,23,23.11.4,"• Valoración inicial y seguimiento por equipo multidisciplinario definido en el estándar de talento humano, que incluya seguimiento y periodicidad de las valoraciones por el psiquiatra mínimo una vez cada quince días.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,23,23.11.5,• Reanimación cardio cerebro pulmonar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,23,23.12,• Valoración y seguimiento por nutrición que incluya minuta de alimentos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,23,23.13,• Control de ingreso de sustancias psicoactivas y el manejo de las mismas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,23,23.14,"• Realización de pruebas POCT - rápidas para la detección de sustancias psicoactivas, VIH, hepatitis virales y sífilis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,23,23.15,"• Administración de medicamentos, titulación, mantenimiento y retiro de los mismos cuando se realice.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.12,23,23.16,"• Atención de usuarios con trastornos por consumo de alcohol, benzodiacepinas y opioides, que incluya manejo de síndrome de abstinencia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,Modalidad telemedicina - prestador de referencia,11.4.12,24,,Cumple con los criterios que le sean aplicables de todos los servicios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,MEDIANA,Modalidades intramural y telemedicina- prestador remisor – prestador referencia,11.4.12,25,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERDEPENDENCIA,MEDIANA,Modalidades intramural,11.4.12,26,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente disponibilidad de:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERDEPENDENCIA,MEDIANA,Modalidad intramural,11.4.12,26,26.1,• Servicio de laboratorio clínico.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERDEPENDENCIA,MEDIANA,Modalidad intramural,11.4.12,26,26.2,"• Servicio farmacéutico, cuando se administren medicamentos.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERDEPENDENCIA,MEDIANA,Modalidad intramural,11.4.12,26,26.3,• Servicio de transporte asistencial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERDEPENDENCIA,MEDIANA,Modalidad intramural,11.4.12,26,26.4,"• Servicios de apoyo (alimentación, lavandería y vigilancia)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERDEPENDENCIA,MEDIANA,Modalidad y telemedicina- prestador remisor – prestador referencia,11.4.12,27,,No aplica.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
