standar,complexity,modality,TIPO DE TRANSPORTE,article,section,paragraph,criteria,cumply,NO CUMPLE,applys,OBSERVACIONES DEL CUMPLIMIENTO,,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
TALENTO HUMANO,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,1,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,1,1.1,"• Tecnólogo en atención prehospitalaria o técnico profesional en atención prehospitalaria o auxiliar en enfermería, en cualquier caso, cuenta con constancia de asistencia en las acciones de formación continua en soporte vital básico.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,1,1.2,"• Conductor que cuenta con licencia para la conducción del respectivo vehículo, expedida por la autoridad competente y adicionalmente cuenta con constancia de asistencia en las acciones de formación continua en primeros auxilios o de primer respondiente.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias fluviales y marítimas,11.6.2,2,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias fluviales y marítimas,11.6.2,2,2.1,"• Tecnólogo en atención prehospitalaria o técnico profesional en atención prehospitalaria o auxiliar en enfermería, en cualquier caso, cuenta con constancia de asistencia en las acciones de formación continua en soporte vital básico.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias fluviales y marítimas,11.6.2,2,2.2,• Para embarcaciones menores (cuya capacidad de transporte no excede las 25 toneladas) cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias fluviales y marítimas,11.6.2,2,2.2.1,"• Motorista y tripulante (que puede ser ayudante fluvial), que cuentan con permiso expedido por la autoridad competente y adicionalmente cuentan con constancia de asistencia en las acciones de formación continua en primeros auxilios o de primer respondiente.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias fluviales y marítimas,11.6.2,2,2.2.2,"• Para embarcaciones mayores (cuya capacidad de transporte excede las 25 toneladas) la tripulación mínima será la que determina el Ministerio de Transporte para las 6 categorías que conforman este grupo de embarcaciones, cuenta con licencia expedidos por la autoridad competente y adicionalmente cuentan con constancia de asistencia en las acciones de formación continua en primeros auxilios o de primer respondiente",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,Modalidades extramural y telemedicina - prestador remisor,"Ambulancias terrestres, fluviales y marítimas",11.6.2,3,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,Modalidades extramural y telemedicina - prestador remisor,"Ambulancias terrestres, fluviales y marítimas",11.6.2,,3.1,"• Coordinador responsable de la totalidad de las ambulancias con las que cuente el servicio, que puede ser profesional de la medicina o profesional de la enfermería.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,Modalidades extramural y telemedicina - prestador remisor,"Ambulancias terrestres, fluviales y marítimas",11.6.2,4,,La ambulancia cuenta con la siguiente tripulación:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,Modalidades extramural y telemedicina - prestador remisor,"Ambulancias terrestres, fluviales y marítimas",11.6.2,4,4.1,• Profesional de la medicina.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,Modalidades extramural y telemedicina - prestador remisor,"Ambulancias terrestres, fluviales y marítimas",11.6.2,4,4.2,• Profesional de la enfermería o tecnólogo en atención prehospitalaria o técnico profesional en atención prehospitalaria o auxiliar de enfermería.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,Modalidades extramural y telemedicina - prestador remisor,"Ambulancias terrestres, fluviales y marítimas",11.6.2,4,4.3,• Conductor que cuenta con licencia para la conducción del respectivo vehículo expedida por la autoridad competente y adicionalmente cuenta con constancia de asistencia en las acciones de formación continua en primeros auxilios o de primer respondiente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,Modalidades extramural y telemedicina - prestador remisor,"Ambulancias terrestres, fluviales y marítimas",11.6.2,4,4.4,• El personal profesional de la salud cuenta con constancia de asistencia en las acciones de formación continua en soporte vital avanzado.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,Modalidades extramural y telemedicina - prestador remisor,"Ambulancias terrestres, fluviales y marítimas",11.6.2,4,4.5,• El personal técnico o auxiliar cuenta con constancia de asistencia en las acciones de formación continua en soporte vital básico.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias fluviales y marítimas,11.6.2,5,,"Para embarcaciones menores (cuya capacidad de transporte no excede las 25 toneladas), motorista y otro tripulante (que puede ser ayudante fluvial), con permisos expedidos por la autoridad competente y adicionalmente cuentan con constancia de asistencia en las acciones de formación continua en primeros auxilios o de primer respondiente.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias fluviales y marítimas,11.6.2,6,,"Para embarcaciones mayores (cuya capacidad de transporte excede las 25 toneladas), la tripulación mínima será la que determina el Ministerio de Transporte para las 6 categorías que conforman este grupo de embarcaciones, con licencias y permisos expedidos por la autoridad competente y adicionalmente cuentan con constancia de asistencia en las acciones de formación continua en primeros auxilios o de primer respondiente.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias aéreas,11.6.2,7,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias aéreas,11.6.2,7,7.1,• Profesional de la medicina.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias aéreas,11.6.2,7,7.2,• Profesional de la enfermería o tecnólogo (a) en atención prehospitalaria o técnico (a) profesional en atención prehospitalaria.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias aéreas,11.6.2,7,7.3,• Tripulación de vuelo que cuenta con licencia y certificado médico expedido por la unidad administrativa especial de aeronáutica civil – UAEAC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias aéreas,11.6.2,7,7.4,• El personal profesional de la salud cuenta con constancia de asistencia en las acciones de formación continua en soporte vital avanzado.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias aéreas,11.6.2,7,7.5,• El personal técnico o auxiliar cuenta con constancia de asistencia en las acciones de formación continua en soporte vital básico.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias aéreas,11.6.2,7,7.6,• La tripulación de vuelo y el personal de salud cuentan con certificado vigente de entrenamiento específico para el servicio de ambulancias aéreas otorgado por un centro de instrucción aeronáutico autorizado por la unidad administrativa especial de aeronáutica civil – UAEAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA Y MEDIANA,Modalidad de telemedicina - prestador de referencia,,11.6.2,8,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA Y MEDIANA,Modalidad de telemedicina - prestador de referencia,,11.6.2,9,,"El profesional de la salud puede hacer uso de la categoría telexperticia sincrónica entre profesionales de la salud, de acuerdo con lo definido por el prestador de servicios de salud en el estándar de procesos prioritarios",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA Y MEDIANA,Modalidad de telemedicina - prestador de referencia,,11.6.2,10,,El personal de salud no profesional puede hacer uso de la categoría telexperticia sincrónica con profesionales de la salud de acuerdo con lo definido por el prestador de servicios de salud en el estándar de procesos prioritarios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,,11.6.2,11,,"Las ambulancias terrestres, fluviales, y marítimas, además de los requisitos exigidos por el sector salud, deben cumplir con los que para este tipo de servicios determinen las autoridades de tránsito terrestre, fluvial y marítimo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,"Ambulancias terrestres, fluviales y marítimas",11.6.2,12,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,"Ambulancias terrestres, fluviales y marítimas",11.6.2,12,12.1,• Sede donde se manejen los procesos administrativos que cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,"Ambulancias terrestres, fluviales y marítimas",11.6.2,12,12.1.1,• Ambiente para el manejo de medicamentos y dispositivos médicos e insumos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,"Ambulancias terrestres, fluviales y marítimas",11.6.2,12,12.1.2,• Área o ambiente para el almacenamiento de equipos biomédicos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,"Ambulancias terrestres, fluviales y marítimas",11.6.2,12,12.1.3,"• Área o ambiente para realizar procesos de limpieza y desinfección, que cuenta con mesón de trabajo con poceta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,"Ambulancias terrestres, fluviales y marítimas",11.6.2,12,12.1.4,• Sistema eléctrico que permita la conexión de los equipos biomédicos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,"Ambulancias terrestres, fluviales y marítimas",11.6.2,12,12.1.5,• Ambiente para el archivo de las historias clínicos y registros.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,"Ambulancias terrestres, fluviales y marítimas",11.6.2,12,12.2,"• Disponibilidad de área o ambiente para realizar el proceso de aseo, limpieza y desinfección de los vehículos. Cuando el prestador de servicios de salud contrate el proceso de aseo, limpieza y desinfección de los vehículos con un tercero, cuenta con un contrato, o convenio o acuerdo escrito entre las partes. Para este caso el tercero cuenta con los permisos correspondientes expedidos por la autoridad sanitaria y ambiental para tal fin.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,13,,La carrocería del vehículo cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,13,13.1,"• Dos compartimentos, uno para el conductor y otro para el paciente con comunicación visual y auditiva entre sí.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,13,13.2,"• Acceso principal al compartimiento del paciente por la parte posterior que cuenta con una apertura útil de mínimo 1.10 metros altura y de 0.90 metros de ancho, con mecanismo que permite el bloqueo en posición de “abierta”, con un peldaño adherido a la carrocería con acabado antideslizante para facilitar el acceso al compartimiento del paciente. Sobre estas medidas se autorizan variaciones máximas del 10 %.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,13,13.3,"• En el compartimiento del paciente, el vehículo cuenta con ventanas con vidrio de seguridad, visibilidad únicamente de adentro hacia fuera y dispositivo de martillo o de otro tipo, para fracturarlas, en caso de necesidad.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,13,13.4,"• Las dimensiones interiores del compartimiento del paciente para ambulancias 4x4, 4x2 y tipo van son mínimo de 2.20m de longitud, 1.50m de ancho y 1.35 de alto.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,13,13.5,"• En todos los lados exteriores de la carrocería incluida el techo está la leyenda “ambulancia”, fabricada en material reflectivo. En el aviso de la parte anterior externa de la carrocería, la palabra “ambulancia”, tiene un largo mínimo del 90% del frente del vehículo y está escrita en sentido inverso.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,13,13.6,"• En los costados y en la parte posterior de la ambulancia, lleva el nombre o logotipo del prestador de servicios de salud a la cual pertenece, también lleva la sigla TAB o TAM y el nombre del municipio sede del prestador de servicios de salud.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,13,13.7,"• En los costados, puertas posteriores y en el techo de la ambulancia, deberá tener “estrella de la vida”, de color azul o verde reflectivo, o el emblema protector de la misión médica de conformidad con lo dispuesto en la Resolución 4481 de 2012 o las normas que la modifiquen, adicionen o sustituyan del Ministerio de Salud y la Protección Social.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,13,13.8,"• Los vehículos de transporte asistencial en baja o mediana complejidad que estén al servicio de la sociedad nacional de la cruz roja colombiana, comité internacional de la cruz roja y la federación internacional de sociedades de la cruz roja estarán exentos de cumplir el anterior requisito y su emblema será la cruz roja sobre fondo blanco. De igual manera, los medios de transporte sanitario que pertenecen a las fuerzas militares y de policía, conservarán sus colores correspondientes y se identificarán con el emblema de la cruz roja, pintado sobre un recuadro blanco.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,14,,El vehículo cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,14,14.1,"• Dispositivo de señalización óptica (barra de luces) en la parte delantera y por encima del vidrio parabrisas que puede ser de tipo rotatorio, intermitente o estroboscópico, visible como mínimo a 180º y de fácil observación con la luz del día.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,14,14.2,"• Dispositivo de señalización óptica, que puede ser de tipo rotatorio, intermitente o estroboscópico, visible como mínimo a 180º y de fácil observación a la luz del día, que se encuentra ubicado en la parte posterior de la carrocería del vehículo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,14,14.3,"• Dos luces de delimitación: laterales, blancas fijas, distribuidas simétricamente en cada costado del vehículo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,14,14.4,"• Dos luces de delimitación: laterales rojas intermitentes, distribuidas simétricamente en cada costado del vehículo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,15,,Interior del vehículo Cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,15,15.1,"• Revestimientos interiores del compartimiento del paciente sin elementos afilados o cortantes, de material lavable, con acabados no rugosos y resistentes al deterioro por agentes desinfectantes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,15,15.2,"• Piso antideslizante, su unión con las paredes es hermética y se encuentra adherido al vehículo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,15,15.3,"• Silla del acompañante y silla del personal auxiliador, de material lavable que cuenta con cinturones de seguridad y protección para la cabeza y la espalda.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,15,15.4,• Cinturones de seguridad adicionales para sostener una camilla adicional.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,15,15.5,"• Leyenda de “este es un espacio libre de humo de tabaco” u otro similar” y “use el cinturón de seguridad”, ubicada en el compartimiento del paciente.",,,,,,revisar aviso,dayana,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,15,15.6,"• Gabinetes del compartimiento del paciente que son livianos, de material resistente, lisos, lavables, sin bordes agudos o filos cortantes y cuentan con puertas de material transparente, resistente, con anclajes seguros para evitar su apertura.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,15,15.7,"• Los gabinetes llevan el nombre correspondiente y colores de identificación para guardar los elementos de acuerdo con su especialidad, así: azul: sistema respiratorio; rojo: sistema circulatorio; amarillo: pediátrico; verde: quirúrgico y accesorios.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,15,15.8,• Entrepaños de los gabinetes que cuentan con borde ligeramente elevado para evitar que los medicamentos y equipos biomédicos se caigan cuando el vehículo está en movimiento.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,15,15.9,• Los gases del tubo de escape no ingresan al interior de la ambulancia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,15,15.10,• Cuenta con iluminación interior para toda el área de manejo del paciente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
