standar,complexity,modality,article,section,paragraph,criteria,cumply,NO CUMPLE,applys,OBSERVACIONES DEL CUMPLIMIENTO,,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
TALENTO HUMANO,BAJA,Modalidades extramural y telemedicina - prestador remisor,11.6.3,1,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Modalidades extramural y telemedicina - prestador remisor,11.6.3,1,1.1,• Tecnólogo en atención prehospitalaria o técnico profesional en atención prehospitalaria o profesional de la medicina.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Modalidades extramural y telemedicina - prestador remisor,11.6.3,1,1.2,• El talento humano en salud cuenta con constancia de asistencia en las acciones de formación continua en soporte vital avanzado.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Modalidad de telemedicina - prestador de referencia,11.6.3,2,,Cumple con los criterios que le sean aplicables de todos los servicios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Modalidad de telemedicina - prestador de referencia,11.6.3,3,,"El profesional de la salud puede hacer uso de la categoría telexperticia sincrónica entre profesionales de la salud, de acuerdo con lo definido por el prestador de servicios de salud en el estándar de procesos prioritarios.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Modalidad de telemedicina - prestador de referencia,11.6.3,4,,El personal de salud no profesional puede hacer uso de la categoría telexperticia sincrónica con profesionales de la salud de acuerdo con lo definido por el prestador de servicios de salud en el estándar de procesos prioritarios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina – prestador remisor,11.6.3,5,,"Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente, cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina – prestador remisor,11.6.3,5,5.1,"• Sede donde se manejen los procesos administrativos del servicio, que cuenta con: ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina – prestador remisor,11.6.3,5,5.1.1,• Ambiente para el almacenamiento de medicamentos y dispositivos médicos e insumos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina – prestador remisor,11.6.3,5,5.1.2,• Ambiente o área para el almacenamiento de equipos biomédicos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina – prestador remisor,11.6.3,5,5.1.3,• Sistema eléctrico que permita la conexión de los equipos biomédicos. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina – prestador remisor,11.6.3,5,5.1.4,• Ambiente para el archivo de las historias clínicos y registros.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina – prestador remisor,11.6.3,6,,"Disponibilidad de Ambiente o área para llevar a cabo el proceso de aseo,  limpieza y desinfección de los vehículos.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina – prestador remisor,11.6.3,7,,Cuenta con medio de transporte para el traslado de personal asistencial no destinado al transporte de pacientes que cumple con los requisitos de movilización exigidos por las autoridades de tránsito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina – prestador remisor,11.6.3,8,,Adicionalmente el medio de transporte no destinado al transporte de pacientes cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina – prestador remisor,11.6.3,8,8.1,"• Sistema de georreferenciación y comunicación que permita el monitoreo y contacto con la secretaría de salud departamental o distrital, o la entidad que tenga a cargo dichas competencias a través del CRUE.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina – prestador remisor,11.6.3,8,8.2,• Sistema de alerta visual y sonora.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina – prestador remisor,11.6.3,8,8.3,• Identificación institucional.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina – prestador remisor,11.6.3,8,8.4,• Chaleco reflectivo para el talento humano.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidad de telemedicina - prestador de referencia,11.6.3,9,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,,"El medio de transporte para el traslado de personal asistencial, no destinado al transporte de pacientes cuentan con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.1,"• Desfibrilador externo automático, incluyendo electrodos adhesivos para adultos y pediátricos, con fecha de vencimiento vigente.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.2,• Resucitador pulmonar manual.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.3,• Succión. Mediante aspirador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.4,• Monitor de signos vitales con accesorios que cuenta como mínimo con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.4.1,• Trazado electrocardiográfico si no está incorporado en el desfibrilador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.4.2,• Presión no invasiva.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.4.3,• Saturación de oxígeno que puede estar integrado en el monitor o externo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.5,• Batería.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.6,"• Laringoscopio con hojas rectas y curvas, cuando el talento humano del servicio se preste con profesional de la medicina.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.7,• Maletín básico para manejo de trauma que cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.7.1,• Gasas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.7.2,• Compresas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.7.3,• Vendas de gasa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.7.4,• Vendas de tela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.7.5,• Vendas elásticas de varios tamaños,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.7.6,• Dos torniquetes para el control de hemorragias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.7.7,• Inmovilizador cervical adulto y pediátrico (multi-talla),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.7.8,• Dos mantas térmicas o aluminizadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.7.9,• Férulas rígidas o maleables para la sujeción de extremidades.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.8,"• Maletín para examen físico, que cuenta con los siguientes equipos biomédicos:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.8.1,• Fonendoscopios (adulto y pediátrico),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.8.2,• Tensiómetros (adulto y pediátrico),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.8.3,• Termómetro clínico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.8.4,• Equipo de órganos de los sentidos con baterías de repuesto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.8.5,• Glucómetro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.8.6,• Lámpara portátil (linterna),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.8.7,• Tijeras corta todo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.8.8,• Guantes desechables y estériles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.8.9,• Mascarillas o tapabocas desechables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.8.10,• Gafas de bioprotección,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.8.11,• Baja lenguas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.8.12,• Oxímetro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad de telemedicina - prestador de referencia,11.6.3,11,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MEDICAMENTOS, DM E INSUMOS",BAJA,Modalidades extramural y telemedicina - prestador remisor,11.6.3,12,,"Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente, cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MEDICAMENTOS, DM E INSUMOS",BAJA,Modalidades extramural y telemedicina - prestador remisor,11.6.3,12,12.1,"• Maletín con medicamentos, equipos biomédicos y dispositivos médicos, definidos con base en la información documentada en el estándar de procesos prioritarios.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MEDICAMENTOS, DM E INSUMOS",BAJA,Modalidad de telemedicina - prestador de referencia,11.6.3,13,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,BAJA,Modalidades extramural y telemedicina - prestador remisor,11.6.3,14,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con la siguiente información documentada:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,BAJA,Modalidades extramural y telemedicina - prestador remisor,11.6.3,14,14.1,• Manejo de urgencias prehospitalarias.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,BAJA,Modalidades extramural y telemedicina - prestador remisor,11.6.3,14,14.2,• Atención en salud de pacientes con problemas y trastornos en salud mental o consumo de sustancias psicoactivas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,BAJA,Modalidades extramural y telemedicina - prestador remisor,11.6.3,14,14.3,"• Medicamentos, equipos biomédicos y dispositivos médicos en los procedimientos que se realicen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,BAJA,Modalidad de telemedicina prestador de referencia,11.6.3,15,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,BAJA,Modalidades extramural y telemedicina - prestador remisor,11.6.3,16,,Cumple con los criterios que le sean aplicables de todos los servicios de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,BAJA,Modalidades extramural y telemedicina - prestador remisor,11.6.3,16,16.1,• Tarjetas de clasificación de multitud de lesionados.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,BAJA,Modalidades extramural y telemedicina - prestador remisor,11.6.3,16,16.2,• Registro con el nombre de los pacientes atendidos que cuenta con la siguiente información:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,BAJA,Modalidades extramural y telemedicina - prestador remisor,11.6.3,16,16.2.1,• Fecha.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,BAJA,Modalidades extramural y telemedicina - prestador remisor,11.6.3,16,16.2.2,• Hora.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,BAJA,Modalidades extramural y telemedicina - prestador remisor,11.6.3,16,16.2.3,• Origen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,BAJA,Modalidades extramural y telemedicina - prestador remisor,11.6.3,16,16.2.4,• Tipo de servicio.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,BAJA,Modalidades extramural y telemedicina - prestador remisor,11.6.3,16,16.2.5,• Nombre del personal que atiende el servicio.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,BAJA,Modalidades extramural y telemedicina - prestador remisor,11.6.3,16,16.2.6,• Evolución y manejo del paciente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,BAJA,Modalidades extramural y telemedicina - prestador remisor,11.6.3,16,16.2.7,• Nombre institución receptora.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,BAJA,Modalidad de telemedicina - prestador de referencia,11.6.3,17,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERDEPENDENCIA,BAJA,Modalidades extramural y telemedicina - prestador remisor- prestador de referencia,11.6.3,18,,No aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
